run,timestamp_ns,x_map_m,y_map_m,yaw_map_rad,time_from_bag_start_s
R12,1784957220338643047,0.06475905642791163,-0.026806259624483103,0.6417157608949473,25.542756225
R12,1784957220732352052,0.07434679155454554,-0.02819489145710674,0.8874009606479091,25.93646523
R12,1784957222172143154,0.14669120579226436,0.06582653569704777,1.0935637833656147,27.376256332
R12,1784957224273085235,0.22317392070546369,0.20874657213845288,0.868316609329051,29.477198413
R12,1784957225317354216,0.3459077604342808,0.3010134621110003,0.6443599795399465,30.521467394
R12,1784957226496806841,0.4390603631484125,0.3494400106117823,0.4412403508849042,31.700920019
R12,1784957227413604720,0.5460203035382377,0.38359272204572,0.21351733342158902,32.617717898
R12,1784957228460516156,0.6546969898137214,0.39568852848429026,-0.038992916466291154,33.664629334
R12,1784957229246800785,0.7493246353063286,0.3794076207237623,-0.2538208070673261,34.450913963
R12,1784957230164957428,0.8440231618244245,0.3496879842574542,-0.4757264393889369,35.369070606
R12,1784957231080736074,0.9383882194638681,0.3028679592390584,-0.7073782818305788,36.284849252
R12,1784957231997919981,1.0136187087140442,0.22370839016961552,-0.9223128659919763,37.202033159
R12,1784957233709307752,1.071088495235961,0.14208183267218483,-0.6768843161340091,38.91342093
R12,1784957234095150837,1.084938834933559,0.14196679608003857,-0.3686536419062891,39.299264015
R12,1784957234358185274,1.0917627084298054,0.14603596207630828,-0.16265786058258555,39.562298452
R13,1784957422645903488,-0.6949477904460027,-0.035339577084984974,0.00017908113536237389,0.910014777
R13,1784957444625909186,-0.404604866964295,-0.036768546430962015,-0.12285616637024381,22.890020475
R13,1784957445806787939,-0.29798095934264845,-0.06341646957951064,-0.3327748379267534,24.070899228
R13,1784957449211260653,-0.02726912560984929,-0.18466385513330727,-0.5245113664110116,27.475371942
R13,1784957452094622074,0.22277677742049384,-0.3251150923391016,-0.5297048593263088,30.358733363
R13,1784957453668651820,0.3645709870334548,-0.3971314496516511,-0.30522306576056557,31.932763109
R13,1784957454845583884,0.4728254370149059,-0.42794807447220556,-0.11089176382483339,33.109695173
R13,1784957456548431653,0.5981741822187018,-0.42395890912920486,0.090401198376434,34.812542942
R13,1784957457729089438,0.6967346883550449,-0.396168422030505,0.32441217468950906,35.993200727
R13,1784957460480200692,0.916925787835877,-0.2966653471050349,0.544736620332553,38.744311981
R13,1784957463099822764,1.0458893990557263,-0.1960043950200011,0.35732199330653625,41.363934053
R13,1784957463363334778,1.0652233029991691,-0.19763235407605045,0.1400702477710272,41.627446067
R14,1784957583074658807,-0.6945897773586837,-0.0345890811031769,-0.004564565403111108,0.887262045
R14,1784957600919859025,-0.4163914689858176,-0.021188329196399035,0.05767188518821762,18.732462263
R14,1784957602232572379,-0.30205058530434903,0.0014038094517666308,0.2676451051657447,20.045175617
R14,1784957604067686124,-0.1265404186928355,0.04357864707559515,0.027578092907537464,21.880289362
R14,1784957604851012876,-0.050249450926203205,0.03268836225461215,-0.189966810360486,22.663616114
R14,1784957605768164439,0.04983364992602729,0.0024185765707694373,-0.4073116498167043,23.580767677
R14,1784957607077863455,0.16014572656922518,-0.060534357293330635,-0.6393271053860248,24.890466693
R14,1784957607996808389,0.22397463071277462,-0.13467081094465705,-0.8619905976234784,25.809411627
R14,1784957610615768071,0.3951084608501157,-0.31602401250967443,-0.6084033189444896,28.428371309
R14,1784957611532644809,0.484724332804379,-0.3763342414839565,-0.39186648829861115,29.345248047
R14,1784957612711193854,0.5811562685518177,-0.4006733827727686,-0.18858911574894088,30.523797092
R14,1784957613761792360,0.6429958188812606,-0.41546441099216946,0.06039326357627366,31.574395598
R14,1784957615071083074,0.7453437787225504,-0.39469818871354645,0.2692665160700797,32.883686312
R14,1784957616379852812,0.8525987199305279,-0.3667596862245544,0.4826195426231287,34.19245605
R14,1784957618215162115,0.9862060606674233,-0.27214729060424686,0.7035850889348275,36.027765353
R14,1784957619921878682,1.0596923194720935,-0.21125790922615942,0.4750478495372148,37.73448192
R14,1784957620308452917,1.0908133019684563,-0.21439359746259956,0.14674627766308412,38.121056155
R15,1784957741132887030,-0.6945624799186839,-0.03803017367127129,-0.0024379323491948023,0.400650261
R15,1784957760359202910,-0.3924172668846911,-0.055440740271804505,-0.07577580613868913,19.626966141
R15,1784957763372216371,-0.10233679619940396,-0.0785858432703091,-0.30087495194182673,22.639979602
R15,1784957764430337478,-0.0152452960127881,-0.1133940043933148,-0.4988525769661855,23.698100709
R15,1784957765861278020,0.0822156519766959,-0.18678480846985507,-0.7095830311585829,25.129041251
R15,1784957768742112650,0.28849397799209264,-0.34528095970182393,-0.47533247693013747,28.009875881
R15,1784957769924474602,0.39186644058533476,-0.38150698121741544,-0.2860994585766321,29.192237833
R15,1784957770972719676,0.4781252406902271,-0.4055940358636406,-0.07825497539562089,30.240482907
R15,1784957772281179366,0.604216826951879,-0.4218074488434231,0.13401227469587246,31.548942597
R15,1784957773985883606,0.7557592302728767,-0.3973822892588401,0.3336678806038011,33.253646837
R15,1784957775949662553,0.9254312786336147,-0.32778118998121264,0.5613224189940507,35.217425784
R15,1784957777523568678,1.0446501716789351,-0.2329787429226931,0.7738040302253678,36.791331909
R15,1784957778437601894,1.0732096650306568,-0.19036473959836211,0.5216815537064948,37.705365125
R15,1784957778833467647,1.0913043000044729,-0.19793293391757252,0.20231625908476036,38.101230878
